dataset,fold,reg,fixed_reg,algo,objective,train_acc,test_acc,train_auc,test_auc,n_iter,n_trees
hepatitis,1,5,0,lpboost_dl85,26.922729553437033,1.0,0.8214285714285714,1.0,0.5391304347826087,28,26
hepatitis,1,5,0,lpboost_dl85,26.675491033304855,1.0,0.8214285714285714,1.0,0.5304347826086957,29,26
hepatitis,1,5,0,lpboost_dl85,26.67058823529412,1.0,0.8214285714285714,1.0,0.5304347826086957,30,27
hepatitis,1,5,0,lpboost_dl85,26.67058823529411,1.0,0.8214285714285714,1.0,0.5304347826086957,31,28
hepatitis,1,5,0,lpboost_dl85,26.66115702479339,1.0,0.8214285714285714,1.0,0.5391304347826087,32,27
hepatitis,2,1,0,lpboost_dl85,29.0,0.8715596330275229,0.8214285714285714,0.7275280898876404,0.643939393939394,1,1
hepatitis,2,1,0,lpboost_dl85,29.0,0.8715596330275229,0.8214285714285714,0.7275280898876404,0.643939393939394,2,1
hepatitis,2,1,0,lpboost_dl85,29.0,0.8715596330275229,0.8214285714285714,0.7275280898876404,0.643939393939394,3,1
hepatitis,2,1,0,lpboost_dl85,29.0,0.8715596330275229,0.8214285714285714,0.7275280898876404,0.643939393939394,4,1
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.899438202247191,0.7272727272727273,5,5
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.899438202247191,0.7272727272727273,6,5
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.8890449438202247,0.7234848484848486,7,5
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.8890449438202247,0.7234848484848486,8,5
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.9047752808988764,0.7727272727272728,9,6
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.899438202247191,0.7272727272727273,10,5
hepatitis,2,1,0,lpboost_dl85,23.0,0.926605504587156,0.7857142857142857,0.8890449438202247,0.7234848484848486,11,5
hepatitis,2,1,0,lpboost_dl85,22.5,0.9357798165137615,0.8571428571428571,0.946629213483146,0.9015151515151516,12,10
hepatitis,2,1,0,lpboost_dl85,21.0,0.9357798165137615,0.8571428571428571,0.952808988764045,0.8825757575757576,13,11
hepatitis,2,1,0,lpboost_dl85,21.0,0.9357798165137615,0.8571428571428571,0.952808988764045,0.8825757575757576,14,11
hepatitis,2,1,0,lpboost_dl85,19.66666666666666,0.944954128440367,0.8571428571428571,0.9730337078651685,0.9242424242424243,15,14
hepatitis,2,1,0,lpboost_dl85,19.615384615384617,0.9541284403669725,0.8571428571428571,0.9707865168539325,0.9166666666666667,16,15
hepatitis,2,1,0,lpboost_dl85,19.5,0.944954128440367,0.8571428571428571,0.9792134831460674,0.9166666666666667,17,14
